x,y,z,yaw,velocity,change_flag
-0.174,-1.5312,-0.001,-0.0063,0,0
0.8887,-1.5452,-0.017,-0.0316,3.5901,0
1.9318,-1.571,-0.0085,-0.0296,4.9325,0
3.0831,-1.5962,-0.0477,-0.015,7.0183,0
4.2093,-1.6496,-0.0534,-0.005,9.1082,0
5.2789,-1.6474,-0.0484,-0.0027,10.5651,0
6.5392,-1.6375,-0.0467,-0.003,12.3496,0
7.6047,-1.6363,-0.0699,-0.0037,13.3373,0
8.8169,-1.6202,-0.066,-0.0043,14.624,0
10.1036,-1.6136,-0.096,-0.004,16.3522,0
11.5116,-1.6305,-0.1201,-0.0039,17.1083,0
12.5564,-1.6251,-0.1272,-0.0038,18.6402,0
13.6018,-1.6535,-0.1357,-0.0053,19.2639,0
14.6874,-1.6351,-0.1572,-0.0085,19.2872,0
15.8133,-1.6546,-0.1543,-0.0116,20.0977,0
16.9123,-1.6556,-0.2441,-0.0151,19.5818,0
18.0765,-1.6794,-0.2366,-0.0172,20.4865,0
19.2069,-1.7159,-0.1895,-0.0196,20.8471,0
20.3429,-1.712,-0.202,-0.0215,20.167,0
21.4826,-1.7494,-0.2367,-0.0231,20.3847,0
22.565,-1.7716,-0.2304,-0.0254,19.6636,0
23.6988,-1.795,-0.2218,-0.0274,19.7537,0
24.8182,-1.8288,-0.2491,-0.0281,19.8728,0
25.9012,-1.8651,-0.2509,-0.0298,18,0
26.9838,-1.8836,-0.2634,-0.0296,16,0
28.0703,-1.9182,-0.2498,-0.0288,14,0
29.1466,-1.9548,-0.249,-0.0276,12,0
30.1675,-1.9914,-0.2432,-0.0269,10,0
31.6109,-2.0332,-0.209,-0.025,8,0
32.9069,-2.0941,-0.2415,-0.0236,7.8278,0
34.0056,-2.1199,-0.2176,-0.0217,7,0
35.2555,-2.1561,-0.2383,-0.0192,6,0
36.4702,-2.2047,-0.2596,-0.0161,5,0
37.5313,-2.2146,-0.2588,-0.0138,4.7209,0
38.5578,-2.2193,-0.2807,-0.0126,3.1898,0
39.692,-2.228,-0.2888,-0.0321,6.7792,0
40.7185,-2.2551,-0.2957,-0.0808,8.0933,0
41.8664,-2.4256,-0.3151,-0.1678,8.3032,0
42.968,-2.7315,-0.3323,-0.2958,7.4995,0
44.0334,-3.1359,-0.3348,-0.4542,8.008,0
45.0259,-3.7258,-0.3638,-0.6297,8.0716,0
45.9468,-4.4805,-0.3937,-0.8138,7.9415,0
46.7423,-5.3073,-0.4681,-0.9909,8.3716,0
47.3295,-6.3018,-0.4976,-1.1572,8.2209,0
47.7806,-7.3945,-0.5583,-1.2981,6.8885,0
48.1421,-8.4331,-0.5825,-1.377,8.9678,0
48.3377,-9.4646,-0.6077,-1.413,8.375,0
48.5334,-10.4703,-0.6487,-1.4198,11.7779,0
48.6945,-11.7197,-0.663,-1.4203,11.7247,0
48.9024,-12.8372,-0.7283,-1.4157,11.5777,0
49.0095,-14.0314,-0.7999,-1.4123,13.594,0
49.2102,-15.3313,-0.8046,-1.4069,12.6413,0
49.5047,-16.5625,-0.8308,-1.4068,13,0
49.8025,-17.3728,-0.8614,-1.414,14.0228,0
50.0804,-18.4276,-0.8693,-1.411,18.7771,0
50.3434,-19.9211,-0.931,-1.4075,18.8252,0
50.4701,-21.0489,-0.9593,-1.4041,20.3671,0
50.6707,-22.1726,-0.9446,-1.4025,19.9342,0
50.8864,-23.2828,-0.9335,-1.4008,19.3476,0
51.081,-24.4747,-1.0301,-1.3989,21.8416,0
51.2873,-25.7327,-1.0868,-1.3964,23.5105,0
51.5084,-26.9792,-1.0576,-1.3946,22.4494,0
51.7215,-28.271,-1.0822,-1.3929,23.7408,0
51.9606,-29.6038,-1.125,-1.3909,24.0956,0
52.212,-30.9588,-1.1635,-1.3899,25.382,0
52.4558,-32.3778,-1.18,-1.3885,26.1755,0
52.7178,-33.7896,-1.2133,-1.387,25.6491,0
52.9701,-35.2463,-1.2357,-1.3857,26.8576,0
53.2597,-36.6932,-1.2995,-1.385,26.277,0
53.5235,-38.2304,-1.3084,-1.3833,27.2518,0
53.8121,-39.7332,-1.3172,-1.3831,28.0568,0
54.1123,-41.2623,-1.3866,-1.3828,28.6915,0
54.3936,-42.8546,-1.4183,-1.3839,28.8229,0
54.6836,-44.4278,-1.4739,-1.3853,28.6,0
54.9872,-45.999,-1.502,-1.3873,27.8295,0
55.2832,-47.5848,-1.4884,-1.3889,29.798,0
55.5483,-49.2296,-1.5727,-1.3893,30.0381,0
55.8425,-50.8334,-1.5699,-1.3901,28.763,0
56.1634,-52.4453,-1.5866,-1.3909,30.0153,0
56.4247,-54.0959,-1.6531,-1.3913,29.948,0
56.7028,-55.726,-1.6482,-1.3921,29.5359,0
57.0191,-57.3249,-1.6957,-1.3922,29.0628,0
57.2783,-58.9458,-1.7423,-1.3911,30.1534,0
57.5852,-60.5806,-1.788,-1.3919,30.5557,0
57.8495,-62.1743,-1.7368,-1.3897,28.7801,0
58.1756,-63.8307,-1.9344,-1.3867,29.6287,0
58.4717,-65.4356,-1.8947,-1.3854,29.5916,0
58.7694,-67.0974,-1.9334,-1.3841,30.6667,0
59.0596,-68.7201,-2.0608,-1.3841,30.3429,0
59.372,-70.3403,-2.0776,-1.3849,29.573,0
59.659,-71.9615,-2.0377,-1.3856,29.7686,0
59.9411,-73.5697,-2.0842,-1.3865,29.0426,0
60.2283,-75.1994,-2.1534,-1.389,29.718,0
60.5305,-76.7573,-2.1029,-1.3909,28.9525,0
60.805,-78.3647,-2.1558,-1.3913,29.608,0
61.0806,-79.9398,-2.1808,-1.3922,28.7509,0
61.363,-81.4975,-2.1952,-1.3935,28.3883,0
61.6378,-83.0747,-2.2258,-1.3941,28.557,0
61.9067,-84.6511,-2.2223,-1.394,28.8149,0
62.1741,-86.2316,-2.2488,-1.394,29.1812,0
62.4227,-87.7674,-2.3167,-1.395,28.046,0
62.7115,-89.3126,-2.3002,-1.3963,27.6707,0
62.9792,-90.8572,-2.302,-1.3967,28.5712,0
63.2322,-92.3825,-2.3557,-1.3963,28.0489,0
63.5002,-93.906,-2.3571,-1.3966,27.682,0
63.7546,-95.442,-2.3592,-1.3967,28.2677,0
64.0144,-96.9486,-2.4166,-1.3957,27.8435,0
64.2817,-98.4516,-2.4146,-1.3953,27.4325,0
64.5468,-99.9501,-2.4133,-1.395,27.5229,0
64.8015,-101.4709,-2.4329,-1.3945,27.9837,0
65.0591,-102.9947,-2.447,-1.3934,28.2983,0
65.3257,-104.5033,-2.4541,-1.3932,27.719,0
65.5843,-106.0087,-2.453,-1.3922,27.4954,0
65.8631,-107.5202,-2.49,-1.3912,27.5321,0
66.1226,-109.0196,-2.4804,-1.3896,27.4867,0
66.3868,-110.546,-2.4927,-1.3884,28.6256,0
66.6603,-112.0106,-2.5168,-1.3863,26.6341,0
66.9182,-113.5078,-2.5397,-1.3818,27.5188,0
67.206,-115.0216,-2.5319,-1.3767,27.5434,0
67.4889,-116.4885,-2.543,-1.3697,26.8393,0
67.7886,-117.9615,-2.5508,-1.3599,27.2811,0
68.1002,-119.4396,-2.5639,-1.3474,27.5751,0
68.424,-120.8885,-2.5883,-1.3321,26.9076,0
68.7774,-122.3791,-2.5988,-1.3143,27.797,0
69.1436,-123.826,-2.6266,-1.2939,27.2195,0
69.5581,-125.3058,-2.6303,-1.2707,27.5058,0
69.9883,-126.7375,-2.6109,-1.2464,27.1954,0
70.4471,-128.1137,-2.6032,-1.221,25.2701,0
70.9368,-129.4803,-2.5855,-1.1941,26.2905,0
71.4677,-130.8653,-2.5936,-1.166,26.4874,0
72.0533,-132.2408,-2.6072,-1.1374,26.65,0
72.6476,-133.5012,-2.6043,-1.1113,25.6048,0
73.3054,-134.8249,-2.6246,-1.0835,26.7,0
74,-136.1557,-2.626,-1.0549,26.7904,0
74.7076,-137.4086,-2.6425,-1.0275,25.9916,0
75.4909,-138.7311,-2.6548,-0.9986,27.2417,0
76.2587,-139.9013,-2.6791,-0.9715,25.0376,0
77.059,-141.1019,-2.6885,-0.943,26.4349,0
77.9244,-142.304,-2.7133,-0.9143,26.848,0
78.7942,-143.4421,-2.7113,-0.8864,25.2757,0
79.7182,-144.5543,-2.7243,-0.8595,26.2049,0
80.6659,-145.6703,-2.7162,-0.8331,26.7096,0
81.6421,-146.7747,-2.7042,-0.808,26.5605,0
82.6675,-147.8555,-2.6964,-0.7831,26.3155,0
83.6822,-148.8753,-2.6933,-0.7604,26.0529,0
84.7412,-149.8724,-2.6929,-0.7381,26.7268,0
85.8492,-150.8572,-2.7231,-0.7188,26.531,0
86.9523,-151.8277,-2.7473,-0.7013,25.9104,0
88.0863,-152.7932,-2.7431,-0.6854,26.0276,0
89.2447,-153.7626,-2.7403,-0.6714,27.4087,0
90.4014,-154.6748,-2.7412,-0.6605,26.7976,0
91.5886,-155.6131,-2.6995,-0.6502,27.0194,0
92.7647,-156.5044,-2.7312,-0.643,26.5085,0
93.9723,-157.4352,-2.7676,-0.6356,27.3289,0
95.2096,-158.3459,-2.7778,-0.6298,27.5488,0
96.4673,-159.2818,-2.8057,-0.6266,28.406,0
97.7219,-160.1937,-2.805,-0.6257,27.8049,0
98.9859,-161.1262,-2.8268,-0.6259,27.8679,0
100.2638,-162.0509,-2.8516,-0.6261,27.9111,0
101.5414,-162.9876,-2.8708,-0.6274,28.8996,0
102.8498,-163.9408,-2.8776,-0.6299,29.8816,0
104.1446,-164.9066,-2.8919,-0.6324,30.3026,0
105.403,-165.8416,-2.8669,-0.6369,28.884,0
106.7227,-166.8318,-2.9194,-0.6404,30.1659,0
108.0115,-167.8233,-2.8899,-0.6438,28.879,0
109.3158,-168.7896,-2.9019,-0.6476,29.0179,0
110.6562,-169.8026,-2.9428,-0.6519,30.1304,0
111.9446,-170.8045,-2.9784,-0.6563,29.6931,0
113.2772,-171.8432,-2.9861,-0.6609,30.4361,0
114.5694,-172.8535,-2.9824,-0.6648,29.0124,0
115.8848,-173.8736,-3.0033,-0.6712,30.325,0
117.1923,-174.9226,-3.0442,-0.6779,30.2192,0
118.486,-175.9847,-3.0454,-0.6858,30.1297,0
119.7548,-177.0535,-3.0481,-0.6946,29.5281,0
121.0458,-178.147,-3.0567,-0.7039,29.6889,0
122.3159,-179.2452,-3.0781,-0.7147,29.2011,0
123.5551,-180.3497,-3.0912,-0.7288,30.1767,0
124.8249,-181.4951,-3.0978,-0.7452,30.8135,0
126.0707,-182.664,-3.137,-0.7629,31.4204,0
127.3182,-183.8525,-3.1456,-0.7805,30.9651,0
128.5606,-185.0651,-3.1297,-0.7963,30.7156,0
129.8032,-186.3631,-3.1619,-0.8103,32.2946,0
130.971,-187.6093,-3.1578,-0.8206,28.6615,0
132.1744,-188.9119,-3.1635,-0.8297,31.0032,0
133.3274,-190.176,-3.2119,-0.8384,29.7546,0
134.4446,-191.4482,-3.2094,-0.8454,30.7318,0
135.5934,-192.7657,-3.2274,-0.8524,31.2291,0
136.7225,-194.0608,-3.2319,-0.8606,31.0999,0
137.8488,-195.3813,-3.2197,-0.8686,31.8265,0
138.9432,-196.6924,-3.2708,-0.8771,31.34,0
140.0255,-197.9924,-3.3011,-0.8849,30.9409,0
141.1005,-199.3392,-3.311,-0.8932,30.708,0
142.155,-200.6565,-3.3326,-0.9018,30.4992,0
143.169,-201.9812,-3.3438,-0.9093,30.1432,0
144.1646,-203.2828,-3.3719,-0.9171,29.4745,0
145.1961,-204.6404,-3.3787,-0.9269,30.2002,0
146.2159,-205.9954,-3.4092,-0.9372,30.7489,0
147.2188,-207.3441,-3.4857,-0.9465,30.4453,0
148.1841,-208.6919,-3.4543,-0.9562,29.9865,0
149.1386,-210.0599,-3.4471,-0.9645,29.5211,0
150.0531,-211.3941,-3.4961,-0.9721,29.1954,0
150.9467,-212.7219,-3.5274,-0.9779,28.6702,0
151.8637,-214.0747,-3.5289,-0.9828,29.3296,0
152.7303,-215.407,-3.5358,-0.987,28.5153,0
153.6129,-216.744,-3.5855,-0.9935,28.1684,0
154.4629,-218.0883,-3.5757,-0.9999,28.6695,0
155.3017,-219.4066,-3.6292,-1.0028,28.4044,0
156.1365,-220.7282,-3.6834,-1.0053,27.9963,0
156.9666,-222.0429,-3.6714,-1.0092,27.7997,0
157.7784,-223.3517,-3.7301,-1.0137,27.5846,0
158.5927,-224.6337,-3.7642,-1.0177,27.1523,0
159.3701,-225.9207,-3.7792,-1.0201,27.3049,0
160.15,-227.2043,-3.8108,-1.022,26.9893,0
160.9142,-228.4586,-3.8249,-1.0255,26.1704,0
161.6782,-229.717,-3.8587,-1.0281,26.5183,0
162.4039,-230.9481,-3.8654,-1.0303,25.2909,0
163.1183,-232.1612,-3.8936,-1.0306,25.1821,0
163.8136,-233.3371,-3.9019,-1.0294,24.2856,0
164.5024,-234.4753,-3.8933,-1.0279,23.6611,0
165.1713,-235.6061,-3.9324,-1.0272,23.288,0
165.8332,-236.6871,-3.9344,-1.0286,22.6582,0
166.4516,-237.7167,-3.9527,-1.0282,19.7856,0
167.0677,-238.7305,-3.97,-1.028,19.4434,0
167.6612,-239.7286,-4.064,-1.0275,18.3643,0
168.24,-240.6876,-4.1001,-1.0285,18.0418,0
168.788,-241.6328,-4.0376,-1.0269,17.6155,0
169.3276,-242.5227,-4.0492,-1.0274,16.816,0
169.8566,-243.3939,-4.083,-1.0274,15.8037,0
170.349,-244.2653,-4.093,-1.026,14.7669,0
171.1022,-245.4784,-4.1135,-1.0232,13.9327,0
171.775,-246.6011,-4.1318,-1.0213,12.6951,0
172.4343,-247.6856,-4.1506,-1.0187,11.9777,0
173.0262,-248.6855,-4.1652,-1.0166,11.5563,0
173.6035,-249.601,-4.1762,-1.0162,9.8245,0
174.1564,-250.4819,-4.1873,-1.0174,9.4765,0
174.8152,-251.5715,-4.1905,-1.0192,8,0
175.4202,-252.5551,-4.2242,-1.0194,8,0
175.9662,-253.4325,-4.2303,-1.0159,8,0
176.5433,-254.3526,-4.2444,-0.9895,7.3449,0
177.1857,-255.276,-4.2564,-0.9078,7.0991,0
177.9151,-256.0986,-4.2819,-0.7653,6.5495,0
178.7267,-256.8139,-4.2743,-0.5686,6.8819,0
179.6574,-257.352,-4.3022,-0.3344,5.994,0
180.6447,-257.6607,-4.3296,-0.1007,6.3605,0
181.8002,-257.7486,-4.3515,0.1659,5.7537,0
182.8758,-257.5421,-4.3138,0.4202,5.5662,0
183.8405,-257.0988,-4.2931,0.6697,5.2213,0
184.6188,-256.4521,-4.2825,0.9072,4.9748,0
185.2939,-255.542,-4.2872,1.1673,5.0774,0
185.6883,-254.5834,-4.2969,1.3926,5.2322,0
185.8536,-253.4807,-4.2612,1.6155,6.2809,0
185.7624,-252.3225,-4.2384,1.7892,7.5193,0
185.4971,-251.2673,-4.2252,1.9117,8.2755,0
185.1003,-250.1143,-4.2201,2.0033,9.3432,0
184.6194,-249.1393,-4.1959,2.0518,10.183,0
184.0305,-248.0788,-4.2213,2.0834,11.0417,0
183.3839,-246.9387,-4.3008,2.1058,12.0573,0
182.8563,-246.0208,-4.3672,2.116,13.1904,0
182.2963,-245.1054,-4.307,2.1212,13.0785,0
181.7058,-244.1486,-4.287,2.1247,13.0751,0
181.0869,-243.146,-4.273,2.1263,14.4127,0
180.4631,-242.1064,-4.2748,2.1287,14.2266,0
179.7886,-241.0155,-4.2359,2.1327,15.6778,0
179.0986,-239.9014,-4.1823,2.1364,16.2648,0
178.3911,-238.7529,-4.1723,2.1424,16.3887,0
177.6446,-237.5564,-4.1318,2.1516,17.4039,0
176.874,-236.3459,-4.1135,2.1647,17.0555,0
176.0502,-235.1115,-4.0659,2.1834,17.6664,0
175.4738,-234.2909,-4.0452,2.1983,18.5371,0
174.8778,-233.4596,-4.0686,2.2152,18.4658,0
174.2737,-232.6365,-4.0254,2.2335,18.8182,0
173.6297,-231.8137,-3.9879,2.2529,18.8193,0
172.9632,-230.9934,-3.964,2.2706,18.9841,0
172.2844,-230.1631,-3.9457,2.2891,19.3376,0
171.5667,-229.3517,-3.9233,2.3059,19.7223,0
170.8302,-228.5427,-3.8941,2.3213,20.1249,0
170.0847,-227.7302,-3.8879,2.3344,19.6512,0
169.314,-226.9109,-3.8853,2.3479,20.1318,0
168.4995,-226.1108,-3.8726,2.3587,20.6639,0
167.6699,-225.282,-3.878,2.3666,21.195,0
166.8381,-224.4521,-3.8818,2.3734,20.9633,0
165.9839,-223.6176,-3.851,2.3781,21.4794,0
165.1078,-222.7788,-3.8292,2.3799,22.4378,0
164.2415,-221.9415,-3.7677,2.3792,21.7178,0
163.358,-221.0891,-3.7526,2.3777,21.7651,0
162.4496,-220.2082,-3.7473,2.3756,22.7816,0
161.5386,-219.3471,-3.7288,2.3718,22.5013,0
160.6501,-218.4671,-3.6485,2.3669,22.2335,0
159.7477,-217.565,-3.5831,2.3599,23.0835,0
158.8196,-216.6557,-3.6318,2.3523,23.1448,0
157.9085,-215.7176,-3.6321,2.3438,23.6604,0
157.0009,-214.7806,-3.5564,2.334,23.8468,0
156.0968,-213.8334,-3.5373,2.3256,23.4826,0
155.1944,-212.843,-3.5605,2.3178,24.2361,0
154.2761,-211.862,-3.5348,2.3097,24.2235,0
153.3503,-210.8578,-3.5269,2.3012,24.2685,0
152.4822,-209.8443,-3.5085,2.2933,24.2591,0
151.5932,-208.8119,-3.4745,2.2846,24.7392,0
150.6952,-207.783,-3.4919,2.2756,24.8818,0
149.8263,-206.762,-3.4524,2.265,23.8826,0
148.9397,-205.7157,-3.4009,2.2548,24.3794,0
148.063,-204.6463,-3.4103,2.2452,24.7056,0
147.2405,-203.5895,-3.3816,2.2364,24.3158,0
146.407,-202.4906,-3.3418,2.2288,24.6746,0
145.5813,-201.3833,-3.3409,2.2227,24.44,0
144.7431,-200.2821,-3.3507,2.2174,24.8249,0
143.9084,-199.16,-3.3223,2.2132,24.875,0
143.0812,-198.0365,-3.2891,2.2099,25.1746,0
142.2721,-196.9031,-3.2698,2.208,25.1303,0
141.4451,-195.7798,-3.249,2.208,25.038,0
140.6132,-194.6356,-3.2336,2.2102,25.147,0
139.7688,-193.4945,-3.2302,2.2144,25.7094,0
138.9507,-192.3514,-3.2049,2.2214,25.5579,0
138.1032,-191.2064,-3.1837,2.2309,25.6438,0
137.237,-190.0767,-3.1709,2.2422,24.9663,0
136.3563,-188.9387,-3.1412,2.2554,26.2184,0
135.4558,-187.8253,-3.1251,2.27,25.5032,0
134.5399,-186.7367,-3.1131,2.2858,25.9059,0
133.6165,-185.6323,-3.0868,2.3038,26.3541,0
132.6584,-184.5523,-3.0782,2.3234,25.7544,0
131.6529,-183.4897,-3.0597,2.3434,26.6561,0
130.664,-182.4483,-3.0609,2.3635,25.2285,0
129.6316,-181.4127,-3.0578,2.3829,26.1657,0
128.5834,-180.4235,-3.046,2.4028,25.8682,0
127.5143,-179.4356,-3.0348,2.4219,25.843,0
126.4101,-178.4755,-3.018,2.44,26.0882,0
125.2829,-177.5193,-3.0082,2.4562,26.9272,0
124.1602,-176.5915,-3.0086,2.4702,25.9185,0
123.0082,-175.6979,-2.9928,2.4832,25.9711,0
121.8611,-174.8033,-2.983,2.4939,25.6852,0
120.6929,-173.9213,-2.9637,2.5017,25.8898,0
119.523,-173.0515,-2.9457,2.5064,26.2914,0
118.3605,-172.2084,-2.964,2.5091,25.9528,0
117.2012,-171.3586,-2.9328,2.5099,25.792,0
116.0493,-170.4829,-2.9112,2.5115,25.5653,0
114.8723,-169.6432,-2.929,2.5118,25.8205,0
113.7055,-168.7987,-2.911,2.5122,26.2675,0
112.5617,-167.9472,-2.8854,2.5121,25.9217,0
111.4038,-167.1102,-2.8655,2.5108,25.6901,0
110.2786,-166.2808,-2.8502,2.5098,24.7066,0
109.127,-165.4336,-2.8172,2.5085,26.1992,0
107.9775,-164.5947,-2.8426,2.5063,25.529,0
106.8697,-163.7639,-2.8578,2.504,24.9577,0
