x,y,z,yaw,velocity,change_flag
-0.174,-1.5312,-0.001,-0.0063,0,0
0.8887,-1.5452,-0.017,-0.0316,3.5901,0
1.9318,-1.571,-0.0085,-0.0296,4.9325,0
3.0831,-1.5962,-0.0477,-0.015,7.0183,0
4.2093,-1.6496,-0.0534,-0.005,9.1082,0
5.2789,-1.6474,-0.0484,-0.0027,10.5651,0
6.5392,-1.6375,-0.0467,-0.003,12.3496,0
7.6047,-1.6363,-0.0699,-0.0037,13.3373,0
8.8169,-1.6202,-0.066,-0.0043,14.624,0
10.1036,-1.6136,-0.096,-0.004,16.3522,0
11.5116,-1.6305,-0.1201,-0.0039,17.1083,0
12.5564,-1.6251,-0.1272,-0.0038,18.6402,0
13.6018,-1.6535,-0.1357,-0.0053,19.2639,0
14.6874,-1.6351,-0.1572,-0.0085,19.2872,0
15.8133,-1.6546,-0.1543,-0.0116,20.0977,0
16.9123,-1.6556,-0.2441,-0.0151,19.5818,0
18.0765,-1.6794,-0.2366,-0.0172,20.4865,0
19.2069,-1.7159,-0.1895,-0.0196,20.8471,0
20.3429,-1.712,-0.202,-0.0215,20.167,0
21.4789,-1.7081,-0.2145,-0.0234,19.4869,
22.6149,-1.7042,-0.227,-0.0253,18.8068,
23.7509,-1.7003,-0.2395,-0.0272,18.1267,
24.8869,-1.6964,-0.252,-0.0291,17.4466,
26.0229,-1.6925,-0.2645,-0.031,16.7665,
27.1589,-1.6886,-0.277,-0.0329,16.0864,
28.2949,-1.6847,-0.2895,-0.0348,15.4063,
29.4309,-1.6808,-0.302,-0.0367,14.7262,
30.5669,-1.6769,-0.3145,-0.0386,14.0461,
31.7029,-1.673,-0.327,-0.0405,13.366,
32.8389,-1.6691,-0.3395,-0.0424,12.6859,
33.9749,-1.6652,-0.352,-0.0443,12.0058,
35.1109,-1.6613,-0.3645,-0.0462,11.3257,
36.2469,-1.6574,-0.377,-0.0481,10.6456,
37.3829,-1.6535,-0.3895,-0.05,9.9655,
38.5189,-1.6496,-0.402,-0.0519,9.2854,
39.6549,-1.6457,-0.4145,-0.0538,8.6053,
40.7909,-1.6418,-0.427,-0.0557,7.9252,
41.9269,-1.6379,-0.4395,-0.0576,7.2451,
43.0629,-1.634,-0.452,-0.0595,6.565,
44.1989,-1.6301,-0.4645,-0.0614,5.8849,
45.3349,-1.6262,-0.477,-0.0633,5.2048,
46.4709,-1.6223,-0.4895,-0.0652,4.5247,
47.6069,-1.6184,-0.502,-0.0671,3.8446,
48.7429,-1.6145,-0.5145,-0.069,3.1645,
49.8789,-1.6106,-0.527,-0.0709,2.4844,
51.0149,-1.6067,-0.5395,-0.0728,1.8043,
52.1509,-1.6028,-0.552,-0.0747,1.1242,
53.2869,-1.5989,-0.5645,-0.0766,0.4441,
54.4229,-1.595,-0.577,-0.0785,-0.236,
55.5589,-1.5911,-0.5895,-0.0804,-0.9161,
56.6949,-1.5872,-0.602,-0.0823,-1.5962,
57.8309,-1.5833,-0.6145,-0.0842,-2.2763,
58.9669,-1.5794,-0.627,-0.0861,-2.9564,
60.1029,-1.5755,-0.6395,-0.088,-3.6365,
61.2389,-1.5716,-0.652,-0.0899,-4.3166,
62.3749,-1.5677,-0.6645,-0.0918,-4.9967,
63.5109,-1.5638,-0.677,-0.0937,-5.6768,
64.6469,-1.5599,-0.6895,-0.0956,-6.3569,
65.7829,-1.556,-0.702,-0.0975,-7.037,
66.9189,-1.5521,-0.7145,-0.0994,-7.7171,
68.0549,-1.5482,-0.727,-0.1013,-8.3972,
69.1909,-1.5443,-0.7395,-0.1032,-9.0773,
70.3269,-1.5404,-0.752,-0.1051,-9.7574,
71.4629,-1.5365,-0.7645,-0.107,-10.4375,
72.5989,-1.5326,-0.777,-0.1089,-11.1176,
73.7349,-1.5287,-0.7895,-0.1108,-11.7977,
74.8709,-1.5248,-0.802,-0.1127,-12.4778,
76.0069,-1.5209,-0.8145,-0.1146,-13.1579,
77.1429,-1.517,-0.827,-0.1165,-13.838,
78.2789,-1.5131,-0.8395,-0.1184,-14.5181,
79.4149,-1.5092,-0.852,-0.1203,-15.1982,
80.5509,-1.5053,-0.8645,-0.1222,-15.8783,
81.6869,-1.5014,-0.877,-0.1241,-16.5584,
82.8229,-1.4975,-0.8895,-0.126,-17.2385,
83.9589,-1.4936,-0.902,-0.1279,-17.9186,
85.0949,-1.4897,-0.9145,-0.1298,-18.5987,
86.2309,-1.4858,-0.927,-0.1317,-19.2788,
87.3669,-1.4819,-0.9395,-0.1336,-19.9589,
88.5029,-1.478,-0.952,-0.1355,-20.639,
89.6389,-1.4741,-0.9645,-0.1374,-21.3191,
90.7749,-1.4702,-0.977,-0.1393,-21.9992,
91.9109,-1.4663,-0.9895,-0.1412,-22.6793,
93.0469,-1.4624,-1.002,-0.1431,-23.3594,
94.1829,-1.4585,-1.0145,-0.145,-24.0395,
95.3189,-1.4546,-1.027,-0.1469,-24.7196,
96.4549,-1.4507,-1.0395,-0.1488,-25.3997,
97.5909,-1.4468,-1.052,-0.1507,-26.0798,
98.7269,-1.4429,-1.0645,-0.1526,-26.7599,
99.8629,-1.439,-1.077,-0.1545,-27.44,
100.9989,-1.4351,-1.0895,-0.1564,-28.1201,
102.1349,-1.4312,-1.102,-0.1583,-28.8002,
103.2709,-1.4273,-1.1145,-0.1602,-29.4803,
104.4069,-1.4234,-1.127,-0.1621,-30.1604,
105.5429,-1.4195,-1.1395,-0.164,-30.8405,
106.6789,-1.4156,-1.152,-0.1659,-31.5206,
107.8149,-1.4117,-1.1645,-0.1678,-32.2007,
108.9509,-1.4078,-1.177,-0.1697,-32.8808,
110.0869,-1.4039,-1.1895,-0.1716,-33.5609,
111.2229,-1.4,-1.202,-0.1735,-34.241,
112.3589,-1.3961,-1.2145,-0.1754,-34.9211,
113.4949,-1.3922,-1.227,-0.1773,-35.6012,
114.6309,-1.3883,-1.2395,-0.1792,-36.2813,
115.7669,-1.3844,-1.252,-0.1811,-36.9614,
116.9029,-1.3805,-1.2645,-0.183,-37.6415,
118.0389,-1.3766,-1.277,-0.1849,-38.3216,
119.1749,-1.3727,-1.2895,-0.1868,-39.0017,
120.3109,-1.3688,-1.302,-0.1887,-39.6818,
121.4469,-1.3649,-1.3145,-0.1906,-40.3619,
122.5829,-1.361,-1.327,-0.1925,-41.042,
123.7189,-1.3571,-1.3395,-0.1944,-41.7221,
124.8549,-1.3532,-1.352,-0.1963,-42.4022,
125.9909,-1.3493,-1.3645,-0.1982,-43.0823,
127.1269,-1.3454,-1.377,-0.2001,-43.7624,
128.2629,-1.3415,-1.3895,-0.202,-44.4425,
129.3989,-1.3376,-1.402,-0.2039,-45.1226,
130.5349,-1.3337,-1.4145,-0.2058,-45.8027,
131.6709,-1.3298,-1.427,-0.2077,-46.4828,
132.8069,-1.3259,-1.4395,-0.2096,-47.1629,
133.9429,-1.322,-1.452,-0.2115,-47.843,
135.0789,-1.3181,-1.4645,-0.2134,-48.5231,
136.2149,-1.3142,-1.477,-0.2153,-49.2032,
137.3509,-1.3103,-1.4895,-0.2172,-49.8833,
138.4869,-1.3064,-1.502,-0.2191,-50.5634,
139.6229,-1.3025,-1.5145,-0.221,-51.2435,
140.7589,-1.2986,-1.527,-0.2229,-51.9236,
141.8949,-1.2947,-1.5395,-0.2248,-52.6037,
143.0309,-1.2908,-1.552,-0.2267,-53.2838,
144.1669,-1.2869,-1.5645,-0.2286,-53.9639,
145.3029,-1.283,-1.577,-0.2305,-54.644,
146.4389,-1.2791,-1.5895,-0.2324,-55.3241,
147.5749,-1.2752,-1.602,-0.2343,-56.0042,
148.7109,-1.2713,-1.6145,-0.2362,-56.6843,
149.8469,-1.2674,-1.627,-0.2381,-57.3644,
150.9829,-1.2635,-1.6395,-0.24,-58.0445,
152.1189,-1.2596,-1.652,-0.2419,-58.7246,
153.2549,-1.2557,-1.6645,-0.2438,-59.4047,
154.3909,-1.2518,-1.677,-0.2457,-60.0848,
155.5269,-1.2479,-1.6895,-0.2476,-60.7649,
156.6629,-1.244,-1.702,-0.2495,-61.445,
157.7989,-1.2401,-1.7145,-0.2514,-62.1251,
158.9349,-1.2362,-1.727,-0.2533,-62.8052,
160.0709,-1.2323,-1.7395,-0.2552,-63.4853,
161.2069,-1.2284,-1.752,-0.2571,-64.1654,
162.3429,-1.2245,-1.7645,-0.259,-64.8455,
163.4789,-1.2206,-1.777,-0.2609,-65.5256,
164.6149,-1.2167,-1.7895,-0.2628,-66.2057,
165.7509,-1.2128,-1.802,-0.2647,-66.8858,
166.8869,-1.2089,-1.8145,-0.2666,-67.5659,
168.0229,-1.205,-1.827,-0.2685,-68.246,
169.1589,-1.2011,-1.8395,-0.2704,-68.9261,
170.2949,-1.1972,-1.852,-0.2723,-69.6062,
171.4309,-1.1933,-1.8645,-0.2742,-70.2863,
172.5669,-1.1894,-1.877,-0.2761,-70.9664,
173.7029,-1.1855,-1.8895,-0.278,-71.6465,
174.8389,-1.1816,-1.902,-0.2799,-72.3266,
175.9749,-1.1777,-1.9145,-0.2818,-73.0067,
177.1109,-1.1738,-1.927,-0.2837,-73.6868,
178.2469,-1.1699,-1.9395,-0.2856,-74.3669,
179.3829,-1.166,-1.952,-0.2875,-75.047,
180.5189,-1.1621,-1.9645,-0.2894,-75.7271,
181.6549,-1.1582,-1.977,-0.2913,-76.4072,
182.7909,-1.1543,-1.9895,-0.2932,-77.0873,
183.9269,-1.1504,-2.002,-0.2951,-77.7674,
185.0629,-1.1465,-2.0145,-0.297,-78.4475,
186.1989,-1.1426,-2.027,-0.2989,-79.1276,
187.3349,-1.1387,-2.0395,-0.3008,-79.8077,
188.4709,-1.1348,-2.052,-0.3027,-80.4878,
189.6069,-1.1309,-2.0645,-0.3046,-81.1679,
190.7429,-1.127,-2.077,-0.3065,-81.848,
191.8789,-1.1231,-2.0895,-0.3084,-82.5281,
193.0149,-1.1192,-2.102,-0.3103,-83.2082,
194.1509,-1.1153,-2.1145,-0.3122,-83.8883,
195.2869,-1.1114,-2.127,-0.3141,-84.5684,
196.4229,-1.1075,-2.1395,-0.316,-85.2485,
197.5589,-1.1036,-2.152,-0.3179,-85.9286,
198.6949,-1.0997,-2.1645,-0.3198,-86.6087,
199.8309,-1.0958,-2.177,-0.3217,-87.2888,
200.9669,-1.0919,-2.1895,-0.3236,-87.9689,
202.1029,-1.088,-2.202,-0.3255,-88.649,
203.2389,-1.0841,-2.2145,-0.3274,-89.3291,
204.3749,-1.0802,-2.227,-0.3293,-90.0092,
205.5109,-1.0763,-2.2395,-0.3312,-90.6893,
206.6469,-1.0724,-2.252,-0.3331,-91.3694,
207.7829,-1.0685,-2.2645,-0.335,-92.0495,
208.9189,-1.0646,-2.277,-0.3369,-92.7296,
210.0549,-1.0607,-2.2895,-0.3388,-93.4097,
211.1909,-1.0568,-2.302,-0.3407,-94.0898,
212.3269,-1.0529,-2.3145,-0.3426,-94.7699,
213.4629,-1.049,-2.327,-0.3445,-95.45,
214.5989,-1.0451,-2.3395,-0.3464,-96.1301,
