x,y,z,yaw,velocity,change_flag
0.6907,-0.4473,-0.0232,0.0261,3,0
1.7674,-0.4385,-0.0421,0.0231,5.8109,0
2.8844,-0.404,-0.0567,0.0204,8.9956,0
4.0251,-0.4008,-0.0589,0.0179,11.5179,0
5.3508,-0.3838,-0.0714,0.0159,12.7372,0
6.4876,-0.375,-0.0818,0.0146,13.6479,0
7.7023,-0.3686,-0.0826,0.0128,14.4138,0
9.0051,-0.345,-0.0871,0.0125,15.9321,0
10.3679,-0.3103,-0.1046,0.0129,17.3131,0
11.7522,-0.3118,-0.1301,0.0133,16.9776,0
13.2191,-0.2938,-0.1625,0.0126,17.556,0
14.2192,-0.2772,-0.1595,0.0119,18.1969,0
15.2352,-0.2612,-0.1826,0.0109,18.4715,0
16.2372,-0.2502,-0.2014,0.0093,18.4635,0
17.257,-0.2586,-0.2159,0.0079,18.5931,0
18.7498,-0.2395,-0.2344,0.0038,17.8929,0
19.7791,-0.2461,-0.2483,0.0031,18.1936,0
21.3165,-0.2544,-0.2239,0.0044,19.4042,0
22.3343,-0.2455,-0.2385,0.0041,19.4527,0
23.344,-0.2456,-0.2741,0.0034,18.9491,0
24.8348,-0.2693,-0.2344,0.0043,17.8992,0
26.3385,-0.2442,-0.2662,0.0033,18.8467,0
27.3412,-0.2621,-0.2588,0.0035,18.714,0
28.7785,-0.2593,-0.2463,0.004,16.7343,0
30.2185,-0.2753,-0.2539,0.0054,16.343,0
31.623,-0.2872,-0.2564,0.0062,15,0
32.9237,-0.2607,-0.2436,0.0066,14,0
34.134,-0.2357,-0.2546,0.0071,12,0
35.2107,-0.2199,-0.2599,0.0082,10,0
36.4538,-0.2511,-0.264,0.0091,7,0
37.6252,-0.2309,-0.2787,0.0098,5,0
38.664,-0.2152,-0.2798,0.0095,3,0
39.708,-0.2259,-0.2899,0.0086,1.4052,0
40.8269,-0.3464,-0.2987,-0.0541,3.4037,0
41.8513,-0.5067,-0.3124,-0.1869,5.4199,0
42.9409,-0.7822,-0.3376,-0.3796,5.7277,0
43.91,-1.2283,-0.3556,-0.5709,7.5372,0
44.7461,-1.786,-0.3799,-0.746,8.1951,0
45.577,-2.5519,-0.4047,-0.9296,7.6533,0
46.3458,-3.5492,-0.4567,-1.0963,9.4709,0
46.8205,-4.4818,-0.5214,-1.2132,10.0927,0
47.2641,-5.5802,-0.5384,-1.3057,11.0761,0
47.6635,-6.7439,-0.5861,-1.3635,12.1943,0
47.9664,-7.9993,-0.6104,-1.3853,12.0893,0
48.1823,-9.0488,-0.6388,-1.388,13.2187,0
48.3447,-10.0932,-0.6853,-1.3867,13.5162,0
48.556,-11.2083,-0.7139,-1.3856,12.7232,0
