x,y,z,yaw,velocity,change_flag
0.0453,-0.0047,-0.0136,-0.0005,0,0
1.0810,-0.0119,-0.0188,0.0012,3.3400,0
2.1293,-0.0181,-0.0388,0.0033,5.3631,0
3.2908,-0.0211,-0.0431,0.0056,6.2984,0
4.4133,-0.0394,-0.0508,0.0083,8.2360,0
5.4882,-0.0102,-0.0429,0.0114,8.6996,0
6.6368,-0.0010,-0.0463,0.0152,8.3995,0
7.8253,0.0182,-0.0555,0.0206,8.3856,0
9.0125,0.0172,-0.0633,0.0266,7.9242,0
10.2317,0.0419,-0.0904,0.0332,8.3644,0
11.4308,0.0679,-0.0982,0.0397,9.0434,0
12.6490,0.1192,-0.1195,0.0473,8.6331,0
13.8896,0.2039,-0.1464,0.0542,9.3824,0
15.1207,0.2494,-0.1798,0.0611,9.1269,0
16.1240,0.3322,-0.1807,0.0599,8.6973,0
17.3600,0.3978,-0.1930,0.0530,9.2350,0
18.4009,0.4394,-0.2047,0.0454,9.1528,0
19.6535,0.4972,-0.1995,0.0346,10.2216,0
20.8770,0.5190,-0.2121,0.0264,8.9795,0
22.0982,0.5299,-0.2161,0.0198,8.8688,0
23.3429,0.5544,-0.1975,0.0131,9.1972,0
24.5235,0.5545,-0.2274,0.0095,8.9065,0
25.6871,0.5682,-0.2315,0.0077,7.8427,0
26.8507,0.5702,-0.2402,0.0079,8.4306,0
28.0037,0.5768,-0.2501,0.0075,8.2530,0
29.1228,0.5644,-0.2373,0.0078,8.0080,0
30.2359,0.5837,-0.2545,0.0087,8.2954,0
31.3332,0.5843,-0.2507,0.0090,8.0626,0
32.4039,0.6009,-0.2482,0.0092,7.7955,0
33.4746,0.5978,-0.2402,0.0095,7.5910,0
34.5204,0.6157,-0.2397,0.0096,7.0685,0
35.5546,0.6303,-0.2447,0.0087,7.0251,0
36.6110,0.6641,-0.2481,0.0047,7.2084,0
37.6472,0.6713,-0.2381,-0.0052,6.9252,0
38.8295,0.6575,-0.2365,-0.0304,7.1776,0
39.9633,0.6271,-0.2520,-0.0735,7.0922,0
41.0617,0.5584,-0.2705,-0.1350,5.7769,0
42.1293,0.4378,-0.2751,-0.2171,6.3520,0
43.2025,0.2312,-0.2885,-0.3252,6.2651,0
44.2235,-0.1616,-0.2995,-0.4450,6.8180,0
45.2996,-0.6565,-0.3263,-0.5781,7.6919,0
46.1451,-1.2284,-0.3679,-0.7015,6.8164,0
46.9232,-1.8687,-0.4293,-0.8331,7.8398,0
47.5931,-2.6170,-0.4586,-0.9667,6.5859,0
48.1837,-3.6719,-0.5005,-1.1113,7.7344,0
48.6217,-4.5944,-0.4966,-1.2133,7.3521,0
48.9654,-5.7287,-0.5353,-1.3083,7.2362,0
49.1908,-6.7657,-0.5758,-1.3652,8.4281,0
49.3227,-7.8454,-0.6012,-1.3959,8.2851,0
49.5036,-9.0058,-0.6475,-1.4049,8.7719,0
49.6853,-9.9893,-0.6702,-1.4137,9.5699,0
49.8240,-11.0305,-0.6891,-1.4323,9.3789,0
49.9670,-12.1391,-0.7287,-1.4522,9.9863,0
50.1077,-13.2505,-0.7540,-1.4700,10.9310,0
50.2263,-14.3636,-0.7926,-1.4812,9.8005,0
50.3186,-15.4920,-0.8231,-1.4812,9.9481,0
50.4095,-16.6512,-0.8485,-1.4743,10.8085,0
50.5444,-17.8155,-0.8431,-1.4660,10.8764,0
50.6684,-18.9946,-0.8919,-1.4563,10.6451,0
50.7942,-20.1779,-0.9310,-1.4478,10.4818,0
50.9513,-21.3692,-0.9408,-1.4405,10.2514,0
51.0860,-22.5957,-0.9641,-1.4356,10.9227,0
51.2748,-23.7704,-1.0091,-1.4337,10.7043,0
51.4341,-25.0042,-1.0238,-1.4313,12.3503,0
51.6086,-26.1980,-1.0455,-1.4283,10.9264,0
51.7604,-27.4271,-1.0944,-1.4226,11.5388,0
51.9536,-28.6377,-1.1147,-1.4172,11.7016,0
52.1385,-29.8733,-1.1240,-1.4120,10.7305,0
52.3308,-31.1283,-1.1742,-1.4074,11.5387,0
52.5515,-32.3679,-1.2143,-1.4064,11.5460,0
52.7331,-33.5645,-1.2263,-1.4045,10.5824,0
52.9293,-34.8067,-1.2709,-1.4037,10.9665,0
53.1497,-36.0917,-1.2829,-1.4018,11.2299,0
53.3812,-37.3469,-1.2684,-1.3996,11.0507,0
53.5308,-38.3407,-1.3240,-1.3975,12.2128,0
53.6982,-39.3268,-1.3468,-1.3956,11.9811,0
53.9340,-40.5953,-1.3732,-1.3932,11.1992,0
54.1439,-41.8913,-1.4053,-1.3906,11.6874,0
54.3241,-42.9161,-1.4525,-1.3884,12.2732,0
54.5483,-44.2274,-1.4714,-1.3845,12.1516,0
54.7307,-45.2201,-1.4732,-1.3821,12.0182,0
54.9809,-46.5406,-1.4913,-1.3796,13.0603,0
55.2378,-47.8082,-1.5261,-1.3769,11.8225,0
55.4738,-49.0840,-1.5476,-1.3779,11.0294,0
55.7283,-50.3704,-1.5573,-1.3797,12.5201,0
55.9636,-51.6542,-1.5831,-1.3798,11.6502,0
56.2218,-52.9725,-1.6012,-1.3815,12.4941,0
56.4594,-54.2826,-1.6299,-1.3828,12.6403,0
56.6060,-55.2892,-1.6372,-1.3836,12.1574,0
56.8228,-56.2834,-1.6725,-1.3837,12.8948,0
56.9958,-57.2797,-1.6625,-1.3821,11.8578,0
57.1806,-58.2695,-1.6886,-1.3811,13.1205,0
57.4196,-59.5839,-1.7163,-1.3794,12.4613,0
57.5945,-60.5822,-1.7169,-1.3748,11.7490,0
57.8850,-61.8821,-1.8271,-1.3743,12.2537,0
58.0492,-62.8880,-1.7652,-1.3730,12.3628,0
58.3294,-64.1850,-1.8569,-1.3715,12.1325,0
58.5202,-65.2111,-1.9010,-1.3730,12.1951,0
58.7156,-66.1919,-1.9340,-1.3737,11.7325,0
58.9196,-67.2223,-1.9630,-1.3749,12.2802,0
59.1081,-68.2094,-1.9684,-1.3757,12.2353,0
59.2982,-69.2133,-1.9856,-1.3766,11.9023,0
59.5397,-70.5352,-2.0094,-1.3773,12.5889,0
59.7982,-71.8194,-2.0352,-1.3778,11.2946,0
60.0506,-73.0976,-2.0463,-1.3779,11.5471,0
60.3007,-74.3712,-2.0447,-1.3784,11.6029,0
60.5391,-75.6598,-2.0721,-1.3796,11.2930,0
60.7841,-76.9652,-2.0895,-1.3802,12.0267,0
61.0246,-78.2494,-2.0965,-1.3805,11.9365,0
61.2173,-79.2376,-2.1126,-1.3810,11.4733,0
61.3915,-80.2281,-2.1269,-1.3813,12.4311,0
61.5783,-81.2485,-2.1415,-1.3812,12.2613,0
61.7532,-82.2360,-2.1694,-1.3810,12.2983,0
61.9387,-83.2500,-2.1636,-1.3809,12.1424,0
62.1154,-84.2423,-2.2053,-1.3799,12.7507,0
62.3138,-85.2556,-2.1935,-1.3793,12.0471,0
62.4942,-86.2519,-2.2132,-1.3778,12.4683,0
62.7125,-87.2575,-2.2043,-1.3777,12.3862,0
62.9118,-88.2834,-2.2244,-1.3777,12.3770,0
63.1807,-89.6180,-2.2500,-1.3791,12.9928,0
63.3705,-90.6383,-2.2591,-1.3801,12.1747,0
63.5548,-91.6405,-2.2723,-1.3805,12.5931,0
63.7509,-92.6775,-2.2772,-1.3812,12.2527,0
63.9400,-93.6784,-2.2968,-1.3815,12.6660,0
64.1439,-94.7210,-2.3173,-1.3820,12.0629,0
64.3206,-95.7206,-2.3045,-1.3828,12.4806,0
64.5207,-96.7470,-2.3095,-1.3832,12.2280,0
64.7056,-97.7490,-2.3262,-1.3836,12.9054,0
64.8936,-98.7643,-2.3272,-1.3836,11.9356,0
65.0742,-99.7907,-2.3385,-1.3844,12.8208,0
65.2599,-100.7893,-2.3430,-1.3852,11.5647,0
65.4509,-101.7984,-2.3550,-1.3854,12.6253,0
65.6208,-102.8273,-2.3469,-1.3862,11.9408,0
65.8241,-103.8577,-2.3562,-1.3867,13.1191,0
66.0064,-104.8610,-2.3674,-1.3873,11.7136,0
66.1956,-105.8966,-2.3725,-1.3882,13.1062,0
66.3608,-106.9064,-2.3768,-1.3887,11.9781,0
66.5570,-107.9607,-2.3639,-1.3887,13.6736,0
66.7388,-108.9656,-2.3854,-1.3890,11.5824,0
66.9472,-110.0217,-2.3930,-1.3900,13.0601,0
67.0902,-111.0299,-2.4081,-1.3902,12.6079,0
67.3059,-112.0935,-2.4257,-1.3916,12.7126,0
67.4629,-113.1059,-2.4072,-1.3923,12.3961,0
67.6796,-114.1617,-2.4070,-1.3924,12.9171,0
67.8260,-115.1606,-2.4037,-1.3924,12.6184,0
68.0278,-116.1843,-2.4100,-1.3910,12.2026,0
68.2617,-117.4983,-2.4180,-1.3893,12.4168,0
68.4406,-118.5016,-2.4215,-1.3869,11.3120,0
68.6682,-119.7636,-2.4365,-1.3814,11.6745,0
68.9139,-121.0365,-2.4381,-1.3736,12.0144,0
69.1517,-122.2951,-2.4447,-1.3619,11.0825,0
69.4165,-123.5038,-2.4350,-1.3447,10.5465,0
69.6992,-124.7069,-2.4460,-1.3221,12.1590,0
70.0049,-125.8839,-2.4388,-1.2978,11.0774,0
70.3085,-127.0533,-2.4286,-1.2721,10.5698,0
70.6403,-128.1493,-2.4155,-1.2470,10.9140,0
70.9875,-129.2045,-2.4098,-1.2255,10.0102,0
71.3596,-130.2836,-2.4052,-1.2073,9.5596,0
71.7905,-131.3413,-2.4038,-1.1867,9.8425,0
72.2138,-132.4171,-2.4038,-1.1627,10.6511,0
72.6721,-133.4784,-2.4029,-1.1375,10.2454,0
73.1763,-134.5340,-2.4071,-1.1115,10.8381,0
73.7131,-135.6118,-2.4080,-1.0851,10.7748,0
74.2471,-136.6938,-2.4111,-1.0597,11.2260,0
74.8550,-137.7872,-2.4107,-1.0340,11.2852,0
75.4817,-138.8495,-2.4240,-1.0088,11.5889,0
76.1808,-139.9540,-2.4317,-0.9825,11.5498,0
76.9120,-141.0210,-2.4403,-0.9560,11.6595,0
77.6589,-142.1072,-2.4396,-0.9289,11.9507,0
78.4596,-143.1708,-2.4409,-0.9013,11.9578,0
79.1146,-143.9702,-2.4389,-0.8802,12.0114,0
79.7379,-144.7601,-2.4419,-0.8595,12.4422,0
80.3947,-145.5429,-2.4429,-0.8393,12.4996,0
81.0876,-146.3076,-2.4326,-0.8200,12.4696,0
81.7767,-147.0564,-2.4206,-0.8025,12.2538,0
82.4786,-147.7834,-2.4167,-0.7861,11.7946,0
83.1761,-148.5384,-2.4114,-0.7700,12.5308,0
83.9333,-149.2258,-2.4059,-0.7551,12.3192,0
84.6689,-149.9404,-2.4037,-0.7399,11.8375,0
85.4465,-150.6652,-2.3827,-0.7257,12.6979,0
86.2417,-151.3833,-2.3962,-0.7114,13.3315,0
87.0109,-152.0476,-2.4002,-0.6974,12.4613,0
87.8544,-152.7502,-2.4059,-0.6828,13.1702,0
88.6784,-153.4154,-2.3882,-0.6687,12.7703,0
89.5010,-154.0926,-2.3959,-0.6556,12.6623,0
90.3639,-154.7786,-2.3793,-0.6447,13.5110,0
91.2184,-155.4115,-2.3887,-0.6374,12.8999,0
92.0986,-156.0643,-2.3519,-0.6317,12.9562,0
93.0108,-156.7279,-2.3609,-0.6286,13.6368,0
93.9041,-157.4146,-2.3695,-0.6257,13.5111,0
94.8349,-158.0652,-2.3579,-0.6231,13.8581,0
95.7298,-158.7582,-2.3698,-0.6212,13.9930,0
96.7104,-159.4476,-2.3808,-0.6195,13.5836,0
97.6880,-160.1402,-2.3921,-0.6182,14.4601,0
98.6100,-160.8350,-2.3832,-0.6166,13.2949,0
99.6047,-161.5397,-2.3854,-0.6157,14.4256,0
100.5754,-162.2581,-2.4000,-0.6146,14.4831,0
101.5616,-162.9555,-2.4106,-0.6140,14.8996,0
102.5649,-163.6785,-2.3947,-0.6151,14.4026,0
103.5244,-164.3794,-2.4189,-0.6176,13.8821,0
104.5257,-165.1021,-2.4078,-0.6219,14.7841,0
105.5038,-165.8179,-2.3969,-0.6282,14.1095,0
106.5106,-166.5775,-2.4161,-0.6337,15.0618,0
107.4521,-167.2974,-2.4093,-0.6387,14.2960,0
108.4502,-168.0809,-2.4147,-0.6423,15.2356,0
109.4368,-168.8036,-2.3939,-0.6435,14.8289,0
110.4511,-169.5865,-2.4214,-0.6436,15.2911,0
111.4360,-170.3568,-2.4273,-0.6434,14.9030,0
112.4433,-171.1141,-2.4253,-0.6441,15.0752,0
113.4385,-171.8963,-2.4331,-0.6450,14.2442,0
114.4251,-172.6529,-2.4401,-0.6458,15.2964,0
115.4531,-173.3960,-2.4387,-0.6498,15.5809,0
116.5058,-174.1951,-2.4350,-0.6547,15.7105,0
117.4739,-174.9986,-2.4456,-0.6591,15.3216,0
118.4630,-175.8376,-2.4393,-0.6655,15.3666,0
119.4820,-176.5784,-2.4385,-0.6747,15.1866,0
120.4667,-177.4150,-2.4447,-0.6854,15.0353,0
121.4604,-178.2173,-2.4385,-0.6969,14.7056,0
122.4423,-179.0531,-2.4425,-0.7079,15.3156,0
123.3842,-179.9466,-2.4486,-0.7184,15.7610,0
124.3322,-180.7825,-2.4397,-0.7292,15.3669,0
125.3018,-181.6386,-2.4468,-0.7402,15.4210,0
126.2046,-182.5160,-2.4351,-0.7522,14.6855,0
127.1039,-183.3905,-2.4473,-0.7622,14.7082,0
127.9878,-184.2405,-2.4415,-0.7730,14.8243,0
128.8477,-185.0882,-2.4340,-0.7843,14.6200,0
129.6976,-185.9462,-2.4412,-0.7974,13.6950,0
130.4916,-186.7926,-2.4295,-0.8123,14.2015,0
131.3126,-187.6476,-2.4077,-0.8292,14.3350,0
132.0819,-188.5054,-2.4196,-0.8490,13.7567,0
132.8511,-189.3858,-2.4296,-0.8687,13.6820,0
133.5643,-190.2474,-2.4374,-0.8884,13.2934,0
134.2793,-191.1250,-2.4226,-0.9069,14.2369,0
134.9464,-191.9934,-2.4280,-0.9246,12.9981,0
135.5739,-192.8691,-2.4359,-0.9376,13.2848,0
136.2054,-193.7547,-2.4284,-0.9449,12.6172,0
136.7926,-194.6376,-2.4309,-0.9458,12.9389,0
137.4137,-195.4750,-2.4402,-0.9415,12.7311,0
138.0121,-196.3476,-2.4497,-0.9353,12.3180,0
138.6186,-197.1720,-2.4559,-0.9283,12.4451,0
139.2400,-198.0128,-2.4534,-0.9220,12.1663,0
139.8652,-198.8241,-2.4693,-0.9157,12.2729,0
140.4821,-199.6368,-2.4701,-0.9104,12.0256,0
141.0924,-200.4359,-2.4751,-0.9057,11.9241,0
141.7178,-201.2310,-2.4800,-0.9005,12.3050,0
142.5162,-202.2549,-2.4734,-0.8938,11.6908,0
143.3339,-203.2516,-2.4773,-0.8879,11.4239,0
144.1131,-204.2488,-2.4674,-0.8818,11.3403,0
144.9032,-205.2247,-2.4783,-0.8757,11.2406,0
145.6854,-206.1781,-2.5051,-0.8697,11.1231,0
146.5148,-207.1577,-2.5044,-0.8636,11.3065,0
147.3413,-208.1513,-2.4933,-0.8580,12.0921,0
148.1696,-209.1280,-2.4785,-0.8518,11.8005,0
148.8317,-209.8785,-2.4803,-0.8481,11.8665,0
149.7156,-210.8443,-2.4638,-0.8480,11.6600,0
150.5779,-211.8062,-2.4793,-0.8571,11.1915,0
151.4631,-212.8022,-2.4808,-0.8726,12.0348,0
152.3132,-213.8248,-2.4710,-0.8923,12.0745,0
152.9513,-214.6078,-2.4761,-0.9077,12.3188,0
153.5762,-215.4333,-2.4811,-0.9235,12.2989,0
154.2122,-216.2544,-2.4941,-0.9399,12.3448,0
154.8264,-217.1175,-2.4692,-0.9558,12.9241,0
155.4433,-217.9879,-2.5035,-0.9716,12.7920,0
156.0357,-218.8698,-2.4907,-0.9858,12.0312,0
156.6228,-219.7571,-2.5206,-0.9992,12.7956,0
157.1787,-220.6671,-2.5163,-1.0123,12.3949,0
157.7371,-221.5507,-2.5347,-1.0244,12.0852,0
158.2871,-222.4744,-2.5502,-1.0355,12.8424,0
158.8064,-223.3894,-2.5517,-1.0439,12.2209,0
159.3484,-224.3229,-2.5722,-1.0489,12.5720,0
159.8751,-225.2385,-2.5789,-1.0514,12.8784,0
160.3826,-226.1496,-2.5802,-1.0520,12.3997,0
160.8984,-227.0525,-2.5850,-1.0514,12.6736,0
161.4036,-227.9567,-2.5914,-1.0502,12.1248,0
161.9185,-228.8592,-2.5968,-1.0490,12.4698,0
162.4352,-229.7617,-2.6037,-1.0471,12.4440,0
162.9290,-230.6322,-2.6025,-1.0453,12.5536,0
163.4372,-231.5170,-2.6044,-1.0437,11.8265,0
163.9458,-232.3944,-2.5943,-1.0418,12.0716,0
164.6040,-233.5285,-2.5863,-1.0396,11.5364,0
165.2644,-234.6578,-2.5672,-1.0368,11.7501,0
165.9198,-235.7713,-2.5890,-1.0340,11.7027,0
166.5495,-236.8510,-2.5822,-1.0310,11.2458,0
167.2032,-237.9150,-2.5765,-1.0279,11.1433,0
167.8433,-239.0122,-2.6260,-1.0236,12.1660,0
168.5279,-240.1038,-2.6132,-1.0245,11.4538,0
169.1379,-241.1733,-2.6067,-1.0240,12.3407,0
169.7938,-242.1988,-2.6299,-1.0219,10.6540,0
170.3844,-243.2080,-2.6224,-1.0202,10.9913,0
171.0116,-244.2315,-2.6217,-1.0222,10.8010,0
171.6103,-245.2304,-2.6110,-1.0287,10.6164,0
172.1996,-246.2127,-2.6141,-1.0366,10.4973,0
172.7860,-247.1986,-2.6263,-1.0448,10.1160,0
173.3536,-248.1772,-2.6333,-1.0532,10.2287,0
173.8812,-249.1515,-2.6325,-1.0608,9.8149,0
174.4000,-250.1108,-2.6210,-1.0667,9.4132,0
174.9337,-251.0458,-2.6165,-1.0685,9.2478,0
175.4387,-251.9649,-2.6175,-1.0633,9.5321,0
175.9455,-252.8708,-2.6275,-1.0382,9.3356,0
176.4845,-253.7556,-2.6222,-0.9884,10.3238,0
177.1634,-254.7480,-2.6209,-0.8804,8.2404,0
177.9852,-255.6481,-2.6050,-0.7143,9.0788,0
178.8762,-256.3869,-2.5936,-0.5180,7.6531,0
179.9297,-256.9401,-2.6129,-0.3074,8.8748,0
180.9969,-257.2167,-2.6538,-0.0823,9.0499,0
182.0999,-257.2929,-2.6501,0.1541,6.3542,0
183.2176,-257.0864,-2.6332,0.4196,6.3461,0
184.2286,-256.6143,-2.6012,0.6703,5.9967,0
185.0422,-255.9400,-2.6097,0.9083,7.2212,0
185.6990,-255.1133,-2.6192,1.1352,6.1802,0
186.1004,-254.1900,-2.6202,1.3516,6.6437,0
186.3004,-253.1728,-2.6144,1.5558,6.3776,0
186.2920,-252.0575,-2.6156,1.7311,6.6458,0
186.1125,-250.9556,-2.6016,1.8798,7.0197,0
185.7776,-249.9054,-2.5994,1.9947,6.0653,0
185.3575,-248.9878,-2.6016,2.0515,7.2407,0
184.8889,-248.0789,-2.6152,2.0722,7.3454,0
184.3399,-247.0973,-2.6659,2.0825,8.2485,0
183.7717,-246.1047,-2.7288,2.0921,8.5273,0
183.2798,-245.2111,-2.7707,2.1011,9.4633,0
182.6766,-244.1676,-2.7530,2.1161,8.5790,0
