x,y,z,yaw,velocity,change_flag
0,0,-0.001,-0.0063,0,0
1,0,-0.017,-0.0316,3.5901,0
2,0,-0.0085,-0.0296,4.9325,0
3,0,-0.0477,-0.015,7.0183,0
4,0,-0.0534,-0.005,9.1082,0
5,0,-0.0484,-0.0027,10.5651,0
6,0,-0.0467,-0.003,12.3496,0
7,0,-0.0699,-0.0037,13.3373,0
8,0,-0.066,-0.0043,14.624,0
9,0,-0.066,-0.0043,14.624,0
10,0.1,-0.066,-0.0043,14.624,0
11,0.3,-0.066,-0.0043,14.624,0
12,0.5,-0.066,-0.0043,14.624,0
13,1,-0.066,-0.0043,14.624,0
14,1.7,-0.066,-0.0043,14.624,0
15,2.5,-0.066,-0.0043,14.624,0
16,4,-0.066,-0.0043,14.624,0
